strategy_hash,strategy_type,original_sharpe,original_return,optimal_stop,optimal_target,optimal_sharpe,optimal_return,sharpe_improvement,return_improvement,num_trades,period,std_dev
9998eed964f5,bollinger_bands,-2.105905979519157,-0.1300160370656248,0.075,0.1,9.153821599954506,0.31156505162226766,11.259727579473664,0.4415810886878925,1460,25,1.5
a2e4b74d4249,bollinger_bands,-1.2340374760237738,-0.0523838639342773,0.075,0.1,11.033919012093751,0.2806683298502759,12.267956488117525,0.3330521937845532,839,25,2.0
834bed6f6b13,bollinger_bands,-1.5920672207135178,-0.04649583521251521,0.075,0.1,7.9091114381790035,0.13746842661413994,9.50117865889252,0.18396426182665515,400,25,2.5
0ed948707371,bollinger_bands,-0.9009174376110752,-0.018404100958301917,0.075,0.1,4.543754217236778,0.05568994624334089,5.444671654847853,0.07409404720164281,196,25,3.0
aee7e28d2d29,bollinger_bands,-1.9144256415233563,-0.1504189010310668,0.075,0.1,8.007110206784969,0.30424552648368497,9.921535848308325,0.4546644275147518,1728,26,1.0
8722b4247191,bollinger_bands,-1.849454480490265,-0.11690268694367012,0.075,0.1,9.432741876465277,0.32132283653879723,11.282196356955541,0.43822552348246735,1452,26,1.5
f69c71178b53,bollinger_bands,-1.4974725771841617,-0.06511975813365178,0.075,0.1,10.395607776929412,0.26388451782108824,11.893080354113573,0.32900427595474,825,26,2.0
7f947d4b463c,bollinger_bands,-1.6896457041846897,-0.049825243382151774,0.075,0.1,7.8102747368961225,0.13528659368710438,9.499920441080812,0.18511183706925616,402,26,2.5
0a778eb7bcce,bollinger_bands,-1.1381243998893587,-0.02224240166416347,0.05,0.1,4.735036146177606,0.05292235915719967,5.8731605460669645,0.07516476082136314,197,26,3.0
916f54433143,bollinger_bands,-1.8625068135095426,-0.14807385647516236,0.075,0.1,7.681903120190449,0.287140683050513,9.544409933699992,0.43521453952567535,1678,27,1.0
bff1964a1e5d,bollinger_bands,-1.833961478242116,-0.11655258215355413,0.075,0.1,9.488203666733572,0.31882886286000156,11.322165144975688,0.4353814450135557,1416,27,1.5
8c513a0e511c,bollinger_bands,-1.5048063666022875,-0.06629754060223148,0.075,0.1,9.816464815429475,0.24871218261256356,11.321271182031762,0.31500972321479503,823,27,2.0
a844edc0133c,bollinger_bands,-1.4106725441152448,-0.042360172342205016,0.075,0.1,8.072787444872862,0.14030234513109208,9.483459988988107,0.1826625174732971,401,27,2.5
8617e749fbb7,bollinger_bands,-1.3307967121462079,-0.027124112341154083,0.075,0.1,4.578850276276828,0.05623188768697496,5.909646988423036,0.08335600002812904,193,27,3.0
99ba9aeafcd7,bollinger_bands,-1.7525317476356328,-0.14021202458617754,0.075,0.1,7.785121827727764,0.28767809661676647,9.537653575363397,0.427890121202944,1645,28,1.0
00c46ab7a34d,bollinger_bands,-1.957752419684694,-0.1239571899414601,0.075,0.1,8.720415410817875,0.2906360123788536,10.678167830502568,0.4145932023203137,1397,28,1.5
cb819834437d,bollinger_bands,-1.8035974988918868,-0.08137992797863214,0.075,0.1,9.578655996625562,0.2394039850117693,11.38225349551745,0.32078391299040143,800,28,2.0
95e25a4feb8e,bollinger_bands,-1.595450193392657,-0.04788863841425561,0.075,0.1,7.888831901908153,0.1391132003152986,9.48428209530081,0.18700183872955423,405,28,2.5
f7bf3891057b,bollinger_bands,-1.254961310491352,-0.026079910927354955,0.075,0.1,4.487036021752561,0.056720355395872835,5.741997332243914,0.08280026632322779,202,28,3.0
569295355819,bollinger_bands,-1.7812197095478381,-0.14046196142390377,0.075,0.1,7.683208283014367,0.28037025266262217,9.464427992562205,0.42083221408652594,1614,29,1.0
e39754500c70,bollinger_bands,-2.051714279105026,-0.13049931556863703,0.075,0.1,8.630061033177892,0.2860550299342073,10.681775312282918,0.4165543455028443,1371,29,1.5
ba3731f3d147,bollinger_bands,-1.668647199474859,-0.07569397493078989,0.075,0.1,10.239848968251259,0.2548538384564645,11.908496167726119,0.33054781338725436,799,29,2.0
3e6c81c24d71,bollinger_bands,-1.4668951093861402,-0.04373067221043081,0.075,0.1,8.059295956267421,0.1405970687744118,9.526191065653562,0.18432774098484261,399,29,2.5
e23f73a1a999,bollinger_bands,-1.1656178108928308,-0.024094629052721528,0.075,0.1,4.305199760527712,0.05501804262553511,5.470817571420543,0.07911267167825664,206,29,3.0
09ec9f49753c,bollinger_bands,-1.751463864022648,-0.13774472322977105,0.075,0.1,7.951501846409851,0.28950028280241247,9.7029657104325,0.4272450060321835,1598,30,1.0
13aea1255ea7,bollinger_bands,-2.0991738169220424,-0.13459216722214395,0.075,0.1,9.009839445314402,0.2982172265846055,11.109013262236445,0.43280939380674943,1339,30,1.5
1941bec06c3a,bollinger_bands,-1.9388723069252523,-0.0883124288201721,0.075,0.1,10.421929984841398,0.25725042893561967,12.36080229176665,0.34556285775579176,785,30,2.0
1d7a3e053fd6,bollinger_bands,-1.8899663018184236,-0.05451596303719464,0.075,0.1,7.6789163576316595,0.13348370685068733,9.568882659450082,0.18799966988788197,396,30,2.5
f323d58803c3,bollinger_bands,-1.0867001340377767,-0.022668026675187525,0.075,0.1,4.607216167517493,0.05828743125941949,5.69391630155527,0.08095545793460701,206,30,3.0
203fc1421563,bollinger_bands,-1.7198280389477634,-0.13523665226270298,0.075,0.1,8.107704101183398,0.29159187760500016,9.827532140131161,0.42682852986770314,1559,31,1.0
9fd39ed6212b,bollinger_bands,-2.1177908539679584,-0.14181114117128124,0.075,0.1,9.062736829070657,0.29469266320997844,11.180527683038616,0.4365038043812597,1309,31,1.5
