entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,direction,pnl_pct,duration_bars,duration_minutes,workspace,strategy_file
2024-12-20 18:59:00+00:00,2024-12-20 19:16:00+00:00,73298,73315,592.0699,592.27,long,0.03379668515491505,17,17.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 19:16:00+00:00,2024-12-20 19:42:00+00:00,73315,73341,592.27,593.23,short,-0.16208823678390538,26,26.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 19:42:00+00:00,2024-12-20 19:43:00+00:00,73341,73342,593.23,593.45,long,0.037085110328207826,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 19:43:00+00:00,2024-12-20 19:44:00+00:00,73342,73343,593.45,593.23,short,0.03707136237257179,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 19:44:00+00:00,2024-12-20 20:02:00+00:00,73343,73361,593.23,592.82,long,-0.06911316015710064,18,18.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:02:00+00:00,2024-12-20 20:03:00+00:00,73361,73362,592.82,592.59,short,0.03879761141662194,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:03:00+00:00,2024-12-20 20:05:00+00:00,73362,73364,592.59,592.83,long,0.04050017718827673,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:05:00+00:00,2024-12-20 20:06:00+00:00,73364,73365,592.83,592.53,short,0.05060472648146488,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:06:00+00:00,2024-12-20 20:07:00+00:00,73365,73366,592.53,592.63,long,0.016876782610167035,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:07:00+00:00,2024-12-20 20:09:00+00:00,73366,73368,592.63,592.3914,short,0.040261208511216014,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:09:00+00:00,2024-12-20 20:37:00+00:00,73368,73396,592.3914,591.68,long,-0.12008952189380637,28,28.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:37:00+00:00,2024-12-20 20:42:00+00:00,73396,73401,591.68,591.02,short,0.11154678204434293,5,5.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:42:00+00:00,2024-12-20 20:44:00+00:00,73401,73403,591.02,591.5,long,0.08121552570133299,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:44:00+00:00,2024-12-20 20:50:00+00:00,73403,73409,591.5,590.9294,short,0.09646661031276638,6,6.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 20:50:00+00:00,2024-12-20 21:00:00+00:00,73409,73419,590.9294,591.97,long,0.17609548619514284,10,10.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-20 21:00:00+00:00,2024-12-23 14:37:00+00:00,73419,73427,591.97,590.751,short,0.20592259742893237,8,3937.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:37:00+00:00,2024-12-23 14:38:00+00:00,73427,73428,590.751,591.225,long,0.0802368510590835,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:38:00+00:00,2024-12-23 14:40:00+00:00,73428,73430,591.225,590.79,short,0.07357604972727119,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:40:00+00:00,2024-12-23 14:41:00+00:00,73430,73431,590.79,591.32,long,0.0897103877858607,1,1.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:41:00+00:00,2024-12-23 14:43:00+00:00,73431,73433,591.32,590.92,short,0.06764526821350383,2,2.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:43:00+00:00,2024-12-23 14:57:00+00:00,73433,73447,590.92,590.4048,long,-0.0871860827184621,14,14.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
2024-12-23 14:57:00+00:00,2024-12-23 15:00:00+00:00,73447,73450,590.4048,589.94,short,0.07872564721695494,3,3.0,workspaces/signal_generation_f88793ad,SPY_compiled_strategy_0
