entry_time,exit_time,direction,pnl_pct,bars_held,volatility,atr_pct,vwap_position,vwap_distance,trend,volume_ratio,hour
2025-03-17 15:51:00+00:00,2025-03-17 15:58:00+00:00,short,0.05471208254113069,7,unknown,0,unknown,0,unknown,1.0,15
2025-03-17 19:29:00+00:00,2025-03-17 19:32:00+00:00,short,0.032510609881453156,3,unknown,0,unknown,0,unknown,1.0,19
2025-03-18 15:38:00+00:00,2025-03-18 15:41:00+00:00,short,0.0962989559081362,3,unknown,0,unknown,0,unknown,1.0,15
2025-03-18 16:43:00+00:00,2025-03-18 16:55:00+00:00,long,-0.05352459455119085,12,unknown,0,unknown,0,unknown,1.0,16
2025-03-18 17:56:00+00:00,2025-03-18 18:18:00+00:00,long,-0.0820286030172146,22,unknown,0,unknown,0,unknown,1.0,17
2025-03-18 19:19:00+00:00,2025-03-18 19:27:00+00:00,short,0.039184952978066345,8,unknown,0,unknown,0,unknown,1.0,19
2025-03-19 14:29:00+00:00,2025-03-19 15:01:00+00:00,long,-0.11486678004535289,32,unknown,0,unknown,0,unknown,1.0,14
2025-03-19 16:13:00+00:00,2025-03-19 16:23:00+00:00,long,0.03007093202200828,10,unknown,0,unknown,0,unknown,1.0,16
2025-03-19 16:53:00+00:00,2025-03-19 17:01:00+00:00,short,0.045994091528245296,8,unknown,0,unknown,0,unknown,1.0,16
2025-03-19 18:28:00+00:00,2025-03-19 18:30:00+00:00,long,0.1435152374202886,2,unknown,0,unknown,0,unknown,1.0,18
2025-03-20 17:05:00+00:00,2025-03-20 17:16:00+00:00,short,0.06175235541127089,11,unknown,0,unknown,0,unknown,1.0,17
2025-03-21 14:22:00+00:00,2025-03-21 14:35:00+00:00,short,0.009822656403468688,13,unknown,0,unknown,0,unknown,1.0,14
2025-03-21 14:41:00+00:00,2025-03-21 14:45:00+00:00,long,0.09744149040784578,4,unknown,0,unknown,0,unknown,1.0,14
2025-03-21 15:14:00+00:00,2025-03-21 15:34:00+00:00,long,-0.07840380905148603,20,unknown,0,unknown,0,unknown,1.0,15
2025-03-21 16:37:00+00:00,2025-03-21 16:40:00+00:00,long,0.08544422094451942,3,unknown,0,unknown,0,unknown,1.0,16
2025-03-24 14:06:00+00:00,2025-03-24 14:12:00+00:00,long,0.052420975379630086,6,unknown,0,unknown,0,unknown,1.0,14
2025-03-24 14:39:00+00:00,2025-03-24 14:43:00+00:00,long,0.04887033403109253,4,unknown,0,unknown,0,unknown,1.0,14
2025-03-24 15:26:00+00:00,2025-03-24 15:35:00+00:00,long,0.017432536085348893,9,unknown,0,unknown,0,unknown,1.0,15
2025-03-24 17:29:00+00:00,2025-03-24 17:46:00+00:00,short,-0.013960387400757668,17,unknown,0,unknown,0,unknown,1.0,17
2025-03-25 14:57:00+00:00,2025-03-25 15:02:00+00:00,long,0.031238067587779916,5,unknown,0,unknown,0,unknown,1.0,14
2025-03-25 15:12:00+00:00,2025-03-25 15:22:00+00:00,long,0.0,10,unknown,0,unknown,0,unknown,1.0,15
2025-03-25 17:41:00+00:00,2025-03-25 17:46:00+00:00,short,0.03480258235160072,5,unknown,0,unknown,0,unknown,1.0,17
2025-03-25 19:03:00+00:00,2025-03-25 19:14:00+00:00,short,0.03146220009053735,11,unknown,0,unknown,0,unknown,1.0,19
2025-03-26 15:18:00+00:00,2025-03-26 15:39:00+00:00,long,-0.12208695961605232,21,unknown,0,unknown,0,unknown,1.0,15
2025-03-26 16:29:00+00:00,2025-03-26 16:33:00+00:00,short,0.07529724902377577,4,unknown,0,unknown,0,unknown,1.0,16
2025-03-26 18:10:00+00:00,2025-03-26 18:27:00+00:00,short,-0.04219409282699704,17,unknown,0,unknown,0,unknown,1.0,18
2025-03-26 19:17:00+00:00,2025-03-26 19:25:00+00:00,short,0.016937627626423257,8,unknown,0,unknown,0,unknown,1.0,19
2025-03-26 19:43:00+00:00,2025-03-26 19:59:00+00:00,short,-0.04772470322464972,16,unknown,0,unknown,0,unknown,1.0,19
2025-03-26 20:22:00+00:00,2025-03-26 20:40:00+00:00,long,-0.024628808669358015,15,unknown,0,unknown,0,unknown,1.0,20
2025-03-26 22:06:00+00:00,2025-03-26 22:10:00+00:00,short,0.08277999894323873,4,unknown,0,unknown,0,unknown,1.0,22
2025-03-26 23:21:00+00:00,2025-03-27 08:05:00+00:00,short,-0.18873582276472955,43,unknown,0,unknown,0,unknown,1.0,23
2025-03-27 16:07:00+00:00,2025-03-27 16:24:00+00:00,short,-0.06679909293862973,17,unknown,0,unknown,0,unknown,1.0,16
2025-03-27 17:50:00+00:00,2025-03-27 17:52:00+00:00,short,0.09819903256159668,2,unknown,0,unknown,0,unknown,1.0,17
2025-03-27 18:57:00+00:00,2025-03-27 19:06:00+00:00,long,0.059862316671632776,9,unknown,0,unknown,0,unknown,1.0,18
2025-03-27 20:36:00+00:00,2025-03-27 20:49:00+00:00,short,0.0017624250969294764,11,unknown,0,unknown,0,unknown,1.0,20
2025-03-27 23:52:00+00:00,2025-03-28 08:37:00+00:00,short,0.2612118110097317,26,unknown,0,unknown,0,unknown,1.0,23
2025-03-28 09:31:00+00:00,2025-03-28 09:34:00+00:00,long,0.06717341347004524,1,unknown,0,unknown,0,unknown,1.0,9
2025-03-28 09:34:00+00:00,2025-03-28 09:40:00+00:00,short,0.024731486715656725,4,unknown,0,unknown,0,unknown,1.0,9
2025-03-28 11:05:00+00:00,2025-03-28 11:19:00+00:00,long,0.008828462964594053,12,unknown,0,unknown,0,unknown,1.0,11
2025-03-28 11:57:00+00:00,2025-03-28 12:05:00+00:00,short,0.02824409963105845,7,unknown,0,unknown,0,unknown,1.0,11
2025-03-28 15:31:00+00:00,2025-03-28 15:44:00+00:00,short,0.021459227467812703,13,unknown,0,unknown,0,unknown,1.0,15
2025-03-28 16:36:00+00:00,2025-03-28 16:39:00+00:00,short,0.055621344242307025,3,unknown,0,unknown,0,unknown,1.0,16
2025-03-28 16:51:00+00:00,2025-03-28 16:56:00+00:00,short,0.12499174853555228,5,unknown,0,unknown,0,unknown,1.0,16
2025-03-28 16:56:00+00:00,2025-03-28 17:16:00+00:00,long,-0.14009123890943442,20,unknown,0,unknown,0,unknown,1.0,16
2025-03-28 17:42:00+00:00,2025-03-28 17:45:00+00:00,short,0.07373702857759179,3,unknown,0,unknown,0,unknown,1.0,17
2025-03-28 18:24:00+00:00,2025-03-28 18:34:00+00:00,long,0.06836499712148392,10,unknown,0,unknown,0,unknown,1.0,18
2025-03-28 18:57:00+00:00,2025-03-28 19:10:00+00:00,short,-0.019801449552425687,13,unknown,0,unknown,0,unknown,1.0,18
2025-03-28 19:17:00+00:00,2025-03-28 19:19:00+00:00,long,0.086435586416167,2,unknown,0,unknown,0,unknown,1.0,19
2025-03-28 21:13:00+00:00,2025-03-28 21:27:00+00:00,short,-0.0036102386367753425,14,unknown,0,unknown,0,unknown,1.0,21
2025-03-28 21:35:00+00:00,2025-03-28 21:36:00+00:00,short,0.01804598115999756,1,unknown,0,unknown,0,unknown,1.0,21
2025-03-28 21:43:00+00:00,2025-03-28 21:46:00+00:00,long,0.023469516708485294,2,unknown,0,unknown,0,unknown,1.0,21
2025-03-31 11:49:00+00:00,2025-03-31 12:03:00+00:00,short,0.020010551017812794,13,unknown,0,unknown,0,unknown,1.0,11
2025-03-31 14:19:00+00:00,2025-03-31 14:30:00+00:00,long,0.05729668770577678,11,unknown,0,unknown,0,unknown,1.0,14
2025-03-31 16:05:00+00:00,2025-03-31 16:16:00+00:00,long,-0.05422993492408823,11,unknown,0,unknown,0,unknown,1.0,16
