strategy_idx,trades,trades_per_day,win_rate,total_return,annual_return,avg_return,avg_bars_held,sr_period,min_touches,bounce_threshold,exit_threshold
209,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,3.0,0.002,0.0015
210,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,3.0,0.002,0.002
211,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,3.0,0.002,0.0025
228,825,2.696078431372549,0.46060606060606063,-0.07325991082129102,-0.08681219659606454,-8.79975435831069e-05,2.303030303030303,40.0,4.0,0.003,0.001
229,591,1.9313725490196079,0.47715736040609136,-0.006147354060087484,-0.007333276331231375,-6.746775873509843e-06,2.22165820642978,40.0,4.0,0.003,0.0015
230,438,1.4313725490196079,0.4497716894977169,-0.02483176043874491,-0.029568134019086756,-5.4354371879973344e-05,2.2648401826484017,40.0,4.0,0.003,0.002
231,340,1.1111111111111112,0.4264705882352941,-0.00893626133421388,-0.010657316372074233,-2.3353401102490802e-05,2.3117647058823527,40.0,4.0,0.003,0.0025
12,728,2.3790849673202614,0.4793956043956044,-0.05520195073337719,-0.06553306497357081,-7.428417073590952e-05,1.9615384615384615,20.0,2.0,0.005,0.001
13,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,2.0,0.005,0.0015
14,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,2.0,0.005,0.002
15,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,2.0,0.005,0.0025
32,728,2.3790849673202614,0.4793956043956044,-0.05520195073337719,-0.06553306497357081,-7.428417073590952e-05,1.9615384615384615,20.0,4.0,0.002,0.001
33,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,20.0,4.0,0.002,0.0015
34,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,20.0,4.0,0.002,0.002
35,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,20.0,4.0,0.002,0.0025
52,728,2.3790849673202614,0.4793956043956044,-0.05520195073337719,-0.06553306497357081,-7.428417073590952e-05,1.9615384615384615,25.0,2.0,0.003,0.001
53,486,1.588235294117647,0.49176954732510286,-0.02006651254245262,-0.023905155172002313,-3.8696099905017666e-05,1.8292181069958848,25.0,2.0,0.003,0.0015
54,350,1.1437908496732025,0.4714285714285714,-0.031896048212794126,-0.03795341061990931,-9.04970582820764e-05,1.737142857142857,25.0,2.0,0.003,0.002
55,255,0.8333333333333334,0.4549019607843137,-0.019672262919104178,-0.023436393149991797,-7.591412589614375e-05,1.6470588235294117,25.0,2.0,0.003,0.0025
72,773,2.526143790849673,0.47089262613195343,-0.06424920507010867,-0.0762041037152279,-8.227736232592944e-05,2.1138421733505823,25.0,3.0,0.004,0.001
73,539,1.761437908496732,0.48794063079777367,-0.018645174213441695,-0.02221501531810821,-3.193994725188099e-05,1.9833024118738405,25.0,3.0,0.004,0.0015
74,393,1.2843137254901962,0.4631043256997455,-0.042778949900724506,-0.050848170707962326,-0.00010905065946373706,1.9516539440203562,25.0,3.0,0.004,0.002
75,294,0.9607843137254902,0.4489795918367347,-0.027099505460665085,-0.032261222808911416,-9.138146836827923e-05,1.9285714285714286,25.0,3.0,0.004,0.0025
92,773,2.526143790849673,0.47089262613195343,-0.06424920507010867,-0.0762041037152279,-8.227736232592944e-05,2.1138421733505823,25.0,4.0,0.005,0.001
