strategy_idx,sr_period,min_touches,entry_zone,exit_zone,min_range,total_trades,avg_return_bps,win_rate,long_trades,short_trades,long_return_bps,short_return_bps
151,10,3,0.002,0.002,0.005,1118,-0.5105446939838638,0.46153846153846156,539,579,-0.41855649339738293,-0.596177923890795
152,10,3,0.002,0.0025,0.002,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
153,10,3,0.002,0.0025,0.003,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
154,10,3,0.002,0.0025,0.004,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
155,10,3,0.002,0.0025,0.005,683,-0.5223929202815385,0.465592972181552,322,361,-0.1816514273481491,-0.8263230053910986
156,10,3,0.002,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
157,10,3,0.002,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
158,10,3,0.002,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
159,10,3,0.002,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
160,10,3,0.0025,0.001,0.002,3223,-0.8024515615094795,0.4830902885510394,2260,963,-0.732742604703134,-0.9660468287808611
161,10,3,0.0025,0.001,0.003,2875,-0.8446030334129438,0.47791304347826086,1912,963,-0.7834365193233496,-0.9660468287808611
162,10,3,0.0025,0.001,0.004,2258,-1.067167141061783,0.46988485385296724,1295,963,-1.1423631725108392,-0.9660468287808611
163,10,3,0.0025,0.001,0.005,1642,-1.01811319573627,0.4701583434835566,826,816,-1.1602595087450862,-0.874224893597443
164,10,3,0.0025,0.0015,0.002,2239,-1.0568586910299633,0.4644930772666369,1459,780,-0.8673293940639613,-1.4113756708676524
165,10,3,0.0025,0.0015,0.003,2239,-1.0568586910299633,0.4644930772666369,1459,780,-0.8673293940639613,-1.4113756708676524
166,10,3,0.0025,0.0015,0.004,1943,-1.0777952798883708,0.4590838908903757,1163,780,-0.8540698242014922,-1.4113756708676524
167,10,3,0.0025,0.0015,0.005,1515,-1.1416889916894055,0.45544554455445546,775,740,-0.9230427235775845,-1.3706766373470558
168,10,3,0.0025,0.002,0.002,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
169,10,3,0.0025,0.002,0.003,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
170,10,3,0.0025,0.002,0.004,1397,-0.6253666535274558,0.47315676449534716,810,587,-0.4720165075420835,-0.8369741803556529
171,10,3,0.0025,0.002,0.005,1247,-0.8428952434752514,0.4595028067361668,660,587,-0.8481614011285913,-0.8369741803556529
172,10,3,0.0025,0.0025,0.002,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
173,10,3,0.0025,0.0025,0.003,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
174,10,3,0.0025,0.0025,0.004,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
175,10,3,0.0025,0.0025,0.005,846,-0.8527062797581942,0.46926713947990545,429,417,-0.7127963601037322,-0.9966423841509139
176,10,3,0.0025,0.003,0.002,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
177,10,3,0.0025,0.003,0.003,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
178,10,3,0.0025,0.003,0.004,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
179,10,3,0.0025,0.003,0.005,464,-1.1326035461049146,0.46336206896551724,227,237,-1.124799079024878,-1.1400787107765107
180,10,3,0.003,0.001,0.002,3121,-0.6871391098281918,0.49022749118872155,2325,796,-0.6725156630256425,-0.7298520668833771
181,10,3,0.003,0.001,0.003,2787,-0.7177665858375414,0.485827054180122,1991,796,-0.7129348214415167,-0.7298520668833771
182,10,3,0.003,0.001,0.004,2218,-0.9151007518795066,0.478809738503156,1422,796,-1.018798328009548,-0.7298520668833771
183,10,3,0.003,0.001,0.005,1675,-0.8273568718491706,0.4823880597014925,911,764,-0.9754415114181849,-0.6507795071274797
184,10,3,0.003,0.0015,0.002,2223,-0.8717887721447128,0.4727845254161044,1548,675,-0.744701441105156,-1.1632423846620965
185,10,3,0.003,0.0015,0.003,2223,-0.8717887721447128,0.4727845254161044,1548,675,-0.744701441105156,-1.1632423846620965
186,10,3,0.003,0.0015,0.004,1940,-0.8653583651204233,0.46855670103092784,1265,675,-0.7064083942187399,-1.1632423846620965
187,10,3,0.003,0.0015,0.005,1547,-0.9326500566938697,0.4673561732385262,872,675,-0.7541525551129599,-1.1632423846620965
188,10,3,0.003,0.002,0.002,1433,-0.3701103294632063,0.4933705512909979,905,528,-0.3231161587583182,-0.4506590500842737
