strategy_id,strategy_name,strategy_type,current_regime,trading_days,avg_daily_return_pct,daily_volatility_pct,annualized_sharpe_ratio,total_return_pct,win_days_pct
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.0_000,atr_channel_breakout_grid_14_30_2.0,atr_channel_breakout,low_vol_bullish,205,0.0222,0.322,1.093,4.54,56.1
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.0_000,atr_channel_breakout_grid_14_30_2.0,atr_channel_breakout,low_vol_bearish,205,-0.0162,0.408,-0.631,-3.32,52.2
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.0_000,atr_channel_breakout_grid_14_30_2.0,atr_channel_breakout,neutral,205,0.0008,0.0238,0.504,0.15,15.6
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.5_000,atr_channel_breakout_grid_14_30_2.5,atr_channel_breakout,low_vol_bullish,205,0.0275,0.2921,1.494,5.63,57.1
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.5_000,atr_channel_breakout_grid_14_30_2.5,atr_channel_breakout,low_vol_bearish,205,-0.0245,0.295,-1.316,-5.01,46.3
atr_channel_breakout_atr_channel_breakout_grid_14_30_2.5_000,atr_channel_breakout_grid_14_30_2.5,atr_channel_breakout,neutral,205,-0.0003,0.0245,-0.226,-0.07,9.8
atr_channel_breakout_atr_channel_breakout_grid_21_10_1.5_000,atr_channel_breakout_grid_21_10_1.5,atr_channel_breakout,low_vol_bearish,205,-0.025,0.2474,-1.605,-5.13,48.3
atr_channel_breakout_atr_channel_breakout_grid_21_10_1.5_000,atr_channel_breakout_grid_21_10_1.5,atr_channel_breakout,neutral,205,-0.0026,0.0177,-2.348,-0.54,11.2
atr_channel_breakout_atr_channel_breakout_grid_21_10_1.5_000,atr_channel_breakout_grid_21_10_1.5,atr_channel_breakout,low_vol_bullish,205,0.0134,0.1704,1.253,2.76,52.2
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.0_000,atr_channel_breakout_grid_21_10_2.0,atr_channel_breakout,low_vol_bearish,205,-0.0025,0.1258,-0.313,-0.51,43.9
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.0_000,atr_channel_breakout_grid_21_10_2.0,atr_channel_breakout,neutral,205,-0.001,0.0091,-1.824,-0.21,2.0
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.0_000,atr_channel_breakout_grid_21_10_2.0,atr_channel_breakout,low_vol_bullish,205,0.0077,0.1134,1.073,1.57,48.3
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.5_000,atr_channel_breakout_grid_21_10_2.5,atr_channel_breakout,low_vol_bearish,205,-0.0052,0.1044,-0.789,-1.06,33.7
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.5_000,atr_channel_breakout_grid_21_10_2.5,atr_channel_breakout,neutral,205,-0.0008,0.0086,-1.451,-0.16,1.0
atr_channel_breakout_atr_channel_breakout_grid_21_10_2.5_000,atr_channel_breakout_grid_21_10_2.5,atr_channel_breakout,low_vol_bullish,205,0.0024,0.0512,0.747,0.49,36.1
