strategy_hash,strategy_type,sharpe_ratio,total_return,win_rate,avg_return_per_trade,num_trades,total_execution_cost
11129fcb7fa5,bollinger_bands,-37.379801220586195,-0.7930888936932452,0.043624807395993837,-0.0005308493264345684,1494,0.1494
5b7b08275e14,bollinger_bands,-67.84797990586259,-0.8637247954303822,0.017430662557781203,-0.0010878146038166023,794,0.0794
121b0501bf35,bollinger_bands,-121.27052175139539,-0.9173409733799586,0.007174499229583975,-0.002248384738676369,408,0.0408
fc9943afab8c,bollinger_bands,-9.889022786766345,-0.5101370526596635,0.16799884437596302,-0.00019433792482272894,2625,0.2625
fff5e7d20b65,bollinger_bands,-19.638374500146824,-0.6744825069742583,0.09798728813559322,-0.0002888576046998965,2335,0.2335
d55aece22ad2,bollinger_bands,-35.53310386157825,-0.7831901521536612,0.044010015408320495,-0.0005342361201593869,1466,0.1466
d39dbfbbb6ae,bollinger_bands,-65.5257500009956,-0.8600707813594738,0.018249229583975346,-0.0010670853366742852,806,0.0806
106f5e37af28,bollinger_bands,-111.44138998999631,-0.9086667738814643,0.007318952234206471,-0.0022603651091578714,402,0.0402
d758885db870,bollinger_bands,-9.718322050631388,-0.5040979593873378,0.16973228043143299,-0.00019561426441107405,2577,0.2577
e8078f937503,bollinger_bands,-19.1658957088028,-0.6686552079857084,0.09899845916795069,-0.0002918617232587117,2291,0.2291
702487ba1156,bollinger_bands,-35.04506436051265,-0.7795639283701288,0.04449152542372881,-0.0005383728787086525,1448,0.1448
fa1bf8b05174,bollinger_bands,-64.14714855186351,-0.8564785301691564,0.018441833590138675,-0.0010626284493413852,806,0.0806
d31ea79e7946,bollinger_bands,-108.40188035278122,-0.9018597585364494,0.0073671032357473035,-0.0022774236326678016,396,0.0396
67e6717e7708,bollinger_bands,-9.40551801844209,-0.4932413837563565,0.17175462249614792,-0.00019244689182846528,2563,0.25630000000000003
22cfbee2a806,bollinger_bands,-18.659045783598597,-0.6585898752489703,0.09957627118644068,-0.0002920575943454414,2255,0.2255
05f08270acc6,bollinger_bands,-33.85369751846185,-0.7692842842473788,0.04482858243451464,-0.0005425135996102812,1418,0.1418
