strategy_id,strategy_hash,strategy_type,symbol,timeframe,constraints,period,std_dev,trace_path,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,avg_return_per_trade,profit_factor,total_execution_cost,pf_bin
SPY_1m_strategy_107,5b7b08275e14,bollinger_bands,SPY_1m,1m,,31,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_107.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_108,fc9943afab8c,bollinger_bands,SPY_1m,1m,,32,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_108.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_109,fff5e7d20b65,bollinger_bands,SPY_1m,1m,,32,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_109.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_110,d55aece22ad2,bollinger_bands,SPY_1m,1m,,32,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_110.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_111,d39dbfbbb6ae,bollinger_bands,SPY_1m,1m,,32,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_111.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_112,d758885db870,bollinger_bands,SPY_1m,1m,,33,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_112.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_113,e8078f937503,bollinger_bands,SPY_1m,1m,,33,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_113.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_114,702487ba1156,bollinger_bands,SPY_1m,1m,,33,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_114.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_115,fa1bf8b05174,bollinger_bands,SPY_1m,1m,,33,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_115.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_116,67e6717e7708,bollinger_bands,SPY_1m,1m,,34,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_116.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_117,22cfbee2a806,bollinger_bands,SPY_1m,1m,,34,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_117.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_118,05f08270acc6,bollinger_bands,SPY_1m,1m,,34,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_118.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_119,ea897ab3a2f1,bollinger_bands,SPY_1m,1m,,34,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_119.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_120,a09b0b058df0,bollinger_bands,SPY_1m,1m,,35,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_120.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_121,d7fe20354dcb,bollinger_bands,SPY_1m,1m,,35,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_121.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_122,6b1245c82ce5,bollinger_bands,SPY_1m,1m,,35,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_122.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_123,61c557a6d032,bollinger_bands,SPY_1m,1m,,35,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_123.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_124,7a965b138401,bollinger_bands,SPY_1m,1m,,36,1.0,traces/signals/bollinger_bands/SPY_1m_strategy_124.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_125,cb821ff2857a,bollinger_bands,SPY_1m,1m,,36,1.5,traces/signals/bollinger_bands/SPY_1m_strategy_125.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_126,4b493028d443,bollinger_bands,SPY_1m,1m,,36,2.0,traces/signals/bollinger_bands/SPY_1m_strategy_126.parquet,0,0,0,0,0,0,0,0,
SPY_1m_strategy_127,fa5d65af43e5,bollinger_bands,SPY_1m,1m,,36,2.5,traces/signals/bollinger_bands/SPY_1m_strategy_127.parquet,0,0,0,0,0,0,0,0,
